OBJECTID,GEOID10,WCCDistrict,DPDPrecinct,DETCouncilDist
1002,26163575000,13,,
1003,26163574700,13,,
1004,26163574600,13,,
1005,26163574900,13,,
1006,26163574800,13,,
1007,26163580300,15,,
1008,26163583800,14,,
1009,26163567100,12,,
1010,26163580800,15,,
1011,26163556400,9,,
1012,26163556700,9,,
1013,26163594100,15,,
1014,26163585700,11,,
1015,26163568300,11,,
1016,26163584100,14,,
1017,26163569600,12,,
1018,26163524200,4,4,6
1019,26163524100,4,4,6
1020,26163524000,4,4,6
1021,26163523800,4,4,6
1022,26163523400,4,4,6
19,26111290500,,,
20,26111290700,,,
21,26111290800,,,
22,26111290900,,,
23,26111291000,,,
24,26111291602,,,
25,26111291601,,,
26,26157000200,,,
27,26157000300,,,
28,26157000400,,,
29,26157000500,,,
48,26157000600,,,
49,26157001300,,,
50,26157001000,,,
51,26157001100,,,
52,26157000700,,,
53,26157000800,,,
102,26157000100,,,
103,26157001200,,,
104,26157000900,,,
105,26011970200,,,
106,26011970100,,,
107,26011970300,,,
108,26011970400,,,
109,26011970500,,,
188,26001970100,,,
189,26001970400,,,
190,26001970600,,,
191,26001970500,,,
192,26001000100,,,
229,26109960200,,,
230,26109960400,,,
231,26109960500,,,
232,26091060100,,,
233,26091061800,,,
234,26091061900,,,
235,26091061200,,,
236,26139022900,,,
237,26139021400,,,
238,26139023200,,,
239,26139021304,,,
240,26139021202,,,
241,26139022001,,,
242,26109960700,,,
243,26109960300,,,
244,26109960100,,,
245,26109960600,,,
246,26049010910,,,
247,26049011210,,,
248,26049010912,,,
249,26049010810,,,
250,26049010604,,,
251,26049010610,,,
252,26049010700,,,
253,26017286200,,,
254,26017286400,,,
255,26017285700,,,
256,26017285500,,,
257,26017286300,,,
258,26017285202,,,
259,26021020100,,,
260,26021010200,,,
261,26021011500,,,
262,26021001400,,,
263,26021001600,,,
264,26049010115,,,
265,26049013002,,,
266,26017285201,,,
267,26017286500,,,
268,26017286600,,,
269,26013000200,,,
270,26013000100,,,
271,26037011101,,,
272,26021020500,,,
273,26021020600,,,
274,26021020700,,,
275,26021020900,,,
276,26021020400,,,
277,26021021000,,,
278,26021021100,,,
279,26115833200,,,
280,26115833300,,,
281,26125157200,,,
282,26125152900,,,
283,26125150000,,,
284,26125145700,,,
285,26125150100,,,
286,26125136300,,,
287,26125167900,,,
288,26125136700,,,
289,26125136500,,,
290,26125136600,,,
291,26125121400,,,
292,26125126400,,,
293,26125127700,,,
294,26125154000,,,
295,26125156000,,,
296,26125196000,,,
297,26125196100,,,
298,26125196200,,,
397,26025003300,,,
398,26025003400,,,
399,26025003500,,,
400,26025003600,,,
401,26025003200,,,
402,26025002800,,,
403,26025000200,,,
404,26077002601,,,
405,26065001703,,,
406,26065004494,,,
407,26065004492,,,
408,26077003400,,,
409,26077002201,,,
410,26077002202,,,
411,26077002904,,,
412,26077002802,,,
413,26077000100,,,
414,26077000201,,,
415,26077000202,,,
416,26077000300,,,
417,26077000500,,,
418,26145010403,,,
419,26145010501,,,
420,26125140100,,,
421,26125140700,,,
422,26125194500,,,
423,26125138600,,,
424,26125161900,,,
425,26125162000,,,
426,26125162100,,,
427,26125162200,,,
428,26059050300,,,
429,26059050100,,,
430,26059050200,,,
431,26145010502,,,
432,26125152000,,,
433,26125154500,,,
434,26125130600,,,
435,26125128000,,,
436,26125128100,,,
437,26125128700,,,
438,26125128900,,,
439,26125197600,,,
440,26125125600,,,
441,26125144100,,,
442,26125144200,,,
443,26125144300,,,
444,26125144400,,,
445,26125144500,,,
446,26101000500,,,
447,26101000100,,,
448,26101000600,,,
449,26161466000,,,
450,26161403800,,,
451,26161403100,,,
452,26161403200,,,
453,26161455000,,,
454,26161403300,,,
455,26161403400,,,
456,26161403500,,,
457,26161404100,,,
458,26161404200,,,
459,26161404300,,,
460,26141950100,,,
461,26141950200,,,
462,26141950500,,,
463,26141950600,,,
464,26141950400,,,
465,26141950300,,,
514,26081011401,,,
515,26081011102,,,
516,26081011002,,,
517,26081012002,,,
518,26081014601,,,
519,26081014602,,,
520,26081014701,,,
521,26045021302,,,
522,26045020901,,,
523,26045021401,,,
524,26081014000,,,
525,26081014100,,,
526,26081014300,,,
527,26081010101,,,
528,26085960100,,,
529,26085961300,,,
530,26045020104,,,
531,26045020201,,,
532,26045020402,,,
533,26045020500,,,
534,26045020700,,,
535,26045020304,,,
536,26045021402,,,
537,26099240800,,,
538,26099240900,,,
539,26099241000,,,
540,26099241200,,,
541,26037011200,,,
542,26007000700,,,
543,26007000800,,,
544,26007000900,,,
545,26007000200,,,
546,26007000100,,,
547,26049011901,,,
548,26049012702,,,
549,26049012501,,,
550,26049011301,,,
551,26049012401,,,
552,26049010201,,,
553,26049012504,,,
554,26049012503,,,
555,26049011213,,,
556,26107960700,,,
557,26107960800,,,
558,26065004600,,,
559,26065006200,,,
560,26065000100,,,
561,26065000400,,,
562,26065000600,,,
563,26065000700,,,
564,26065000800,,,
565,26065001000,,,
566,26065001200,,,
567,26065002000,,,
568,26065002200,,,
569,26065002300,,,
570,26065002600,,,
571,26065002700,,,
572,26065002800,,,
573,26065002902,,,
574,26065003200,,,
575,26065003301,,,
582,26025000300,,,
583,26025000500,,,
584,26025000600,,,
585,26025000700,,,
586,26025000800,,,
587,26025000900,,,
588,26025001000,,,
589,26025001100,,,
628,26025001200,,,
629,26025001300,,,
630,26025001400,,,
631,26025001500,,,
632,26025001600,,,
634,26163580100,,,
645,26125122200,,,
646,26125180000,,,
647,26125180100,,,
648,26125180200,,,
649,26125128200,,,
650,26125128300,,,
651,26125128400,,,
652,26125126500,,,
653,26125129000,,,
654,26125121000,,,
655,26125144600,,,
656,26125144800,,,
657,26125145600,,,
